GVKEY	datadate	fyearq	fqtr	fyr	tic	cusip	actq	chq	intanq	ltq	cogsy	add1	conml	naics
012141	20190630	2019	4	6	MSFT	594918104	175552.0000	11356.0000	49776.0000	184226.0000	31228.0000	One Microsoft Way	Microsoft Corp	513210
012141	20190930	2020	1	6	MSFT	594918104	165896.0000	13117.0000	49621.0000	172894.0000	7435.0000	One Microsoft Way	Microsoft Corp	513210
012141	20191231	2020	2	6	MSFT	594918104	167074.0000	8864.0000	49374.0000	172685.0000	16590.0000	One Microsoft Way	Microsoft Corp	513210
012141	20200331	2020	3	6	MSFT	594918104	170505.0000	11710.0000	48919.0000	170948.0000	24447.0000	One Microsoft Way	Microsoft Corp	513210
012141	20200630	2020	4	6	MSFT	594918104	181915.0000	13576.0000	50389.0000	183007.0000	33282.0000	One Microsoft Way	Microsoft Corp	513210
012141	20200930	2021	1	6	MSFT	594918104	177077.0000	17205.0000	50813.0000	177609.0000	8357.0000	One Microsoft Way	Microsoft Corp	513210
012141	20201231	2021	2	6	MSFT	594918104	173973.0000	14432.0000	50774.0000	173901.0000	19790.0000	One Microsoft Way	Microsoft Corp	513210
012141	20210331	2021	3	6	MSFT	594918104	165614.0000	13702.0000	57825.0000	174374.0000	29899.0000	One Microsoft Way	Microsoft Corp	513210
012141	20210630	2021	4	6	MSFT	594918104	184406.0000	14224.0000	57511.0000	191791.0000	40546.0000	One Microsoft Way	Microsoft Corp	513210
012141	20210930	2022	1	6	MSFT	594918104	174326.0000	19165.0000	58249.0000	183440.0000	10434.0000	One Microsoft Way	Microsoft Corp	513210
012141	20211231	2022	2	6	MSFT	594918104	174188.0000	20604.0000	58383.0000	180379.0000	23898.0000	One Microsoft Way	Microsoft Corp	513210
012141	20220331	2022	3	6	MSFT	594918104	153922.0000	12498.0000	78719.0000	181683.0000	35740.0000	One Microsoft Way	Microsoft Corp	513210
012141	20220630	2022	4	6	MSFT	594918104	169684.0000	13931.0000	78822.0000	198298.0000	48190.0000	One Microsoft Way	Microsoft Corp	513210
035077	20190630	2019	2	12	UBER	90353T100	14300.0000	11744.0000	245.0000	15072.0000	4153.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20190930	2019	3	12	UBER	90353T100	15153.0000	12650.0000	241.0000	16241.0000	6252.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20191231	2019	4	12	UBER	90353T100	13925.0000	10873.0000	238.0000	16578.0000	8363.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20200331	2020	1	12	UBER	90353T100	11114.0000	8165.0000	3126.0000	17772.0000	1994.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20200630	2020	2	12	UBER	90353T100	9662.0000	6754.0000	3051.0000	17719.0000	3291.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20200930	2020	3	12	UBER	90353T100	9412.0000	6154.0000	3642.0000	18712.0000	4959.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20201231	2020	4	12	UBER	90353T100	9882.0000	5647.0000	7673.0000	19498.0000	6779.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20210331	2021	1	12	UBER	90353T100	8295.0000	4836.0000	7807.0000	20584.0000	2119.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20210630	2021	2	12	UBER	90353T100	7783.0000	4443.0000	7826.0000	20507.0000	4640.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20210930	2021	3	12	UBER	90353T100	9684.0000	6482.0000	7725.0000	22599.0000	7446.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20211231	2021	4	12	UBER	90353T100	8819.0000	4295.0000	10832.0000	23425.0000	11093.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20220331	2022	1	12	UBER	90353T100	8665.0000	4184.0000	10704.0000	22994.0000	4599.0000	1515 3rd Street	Uber Technologies Inc	485310
035077	20220630	2022	2	12	UBER	90353T100	8751.0000	4397.0000	10481.0000	23451.0000	10369.0000	1515 3rd Street	Uber Technologies Inc	485310
